Recall,Precision,Threshold
1.0,0.034,5.099349e-07
1.0,0.03401700850425213,7.093342e-07
1.0,0.03403403403403404,7.5816916e-07
1.0,0.03405107661492238,7.7899017e-07
1.0,0.03406813627254509,1.0588082e-06
1.0,0.034085213032581455,1.2820401e-06
1.0,0.034102306920762285,1.3374569e-06
1.0,0.03411941796287005,1.3403759e-06
1.0,0.03413654618473896,1.4158405e-06
1.0,0.03415369161225515,1.6163236e-06
1.0,0.034170854271356785,1.6294915e-06
1.0,0.03418803418803419,1.8636491e-06
1.0,0.03420523138832998,2.3579064e-06
1.0,0.034222445898339206,2.3731993e-06
1.0,0.03423967774420947,2.3855025e-06
1.0,0.03425692695214106,2.587256e-06
1.0,0.034274193548387094,2.6022715e-06
1.0,0.03429147755925366,2.6345838e-06
1.0,0.034308779011099896,2.6672822e-06
1.0,0.034326097930338216,2.7083893e-06
1.0,0.03434343434343434,2.7833248e-06
1.0,0.03436078827690753,2.801452e-06
1.0,0.034378159757330634,3.0146875e-06
1.0,0.0343955488113303,3.241216e-06
1.0,0.03441295546558704,3.3708484e-06
1.0,0.034430379746835445,3.3784822e-06
1.0,0.034447821681864235,3.568364e-06
1.0,0.03446528129751647,3.8383955e-06
1.0,0.034482758620689655,3.861703e-06
1.0,0.03450025367833587,3.8641124e-06
1.0,0.03451776649746193,3.9546003e-06
1.0,0.03453529710512951,4.1700555e-06
1.0,0.034552845528455285,4.170338e-06
1.0,0.03457041179461108,4.3382597e-06
1.0,0.03458799593082401,4.354072e-06
1.0,0.03460559796437659,4.3779805e-06
1.0,0.034623217922606926,4.5006723e-06
1.0,0.034640855832908816,4.5477614e-06
1.0,0.034658511722731905,4.677892e-06
1.0,0.03467618561958185,4.6898763e-06
1.0,0.03469387755102041,4.9385762e-06
1.0,0.03471158754466565,5.062334e-06
1.0,0.03472931562819203,5.169741e-06
1.0,0.03474706182933061,5.3911326e-06
1.0,0.034764826175869123,5.41439e-06
1.0,0.034782608695652174,5.496367e-06
1.0,0.03480040941658137,5.513003e-06
1.0,0.03481822836661547,5.5742817e-06
1.0,0.03483606557377049,5.603671e-06
1.0,0.03485392106611994,5.6325553e-06
1.0,0.03487179487179487,5.6790814e-06
1.0,0.034889687018984095,5.6992376e-06
1.0,0.03490759753593429,5.788413e-06
1.0,0.03492552645095018,5.868324e-06
1.0,0.03494347379239465,5.882158e-06
1.0,0.03496143958868895,6.149439e-06
1.0,0.03497942386831276,6.289417e-06
1.0,0.034997426659804425,6.3009616e-06
1.0,0.035015447991761074,6.3439456e-06
