Threshold,Precision,Recall,F1 Score
0.1,0.4206896551724138,0.8970588235294118,0.5727699530516432
0.15,0.4573643410852713,0.8676470588235294,0.5989847715736041
0.2,0.48360655737704916,0.8676470588235294,0.6210526315789474
0.25,0.5132743362831859,0.8529411764705882,0.6408839779005525
0.3,0.5480769230769231,0.8382352941176471,0.6627906976744186
0.35,0.5643564356435643,0.8382352941176471,0.6745562130177515
0.4,0.5714285714285714,0.8235294117647058,0.6746987951807228
0.45,0.5851063829787234,0.8088235294117647,0.6790123456790124
0.5,0.625,0.8088235294117647,0.7051282051282052
0.55,0.632183908045977,0.8088235294117647,0.7096774193548387
0.6,0.6395348837209303,0.8088235294117647,0.7142857142857143
0.65,0.6428571428571429,0.7941176470588235,0.7105263157894737
0.7,0.6666666666666666,0.7941176470588235,0.7248322147651006
0.75,0.7297297297297297,0.7941176470588235,0.7605633802816901
0.8,0.7605633802816901,0.7941176470588235,0.7769784172661871
0.85,0.7910447761194029,0.7794117647058824,0.7851851851851852
0.9,0.847457627118644,0.7352941176470589,0.7874015748031497
0.95,0.9215686274509803,0.6911764705882353,0.7899159663865546
